pack_ID,pack_type,delivery_type,work_ID,weight
1741539870,medium,two-day,1293724160,20
2101871142,small,two-day,1323404714,6
1873683676,flat,express,1636841389,10
1138742700,flat,two-day,1824528834,11
1560083183,flat,relaxed,1965318739,15
1916802896,flat,snail mail,2079986259,3
614435941,large,snail mail,163593185,7
1917965574,flat,two-day,954325006,12
1802483111,flat,two-day,1809788497,11
968591198,small,express,1796427594,7
369154797,flat,two-day,203940642,15
1692742095,small,relaxed,545369265,5
1628233480,flat,two-day,1123689807,12
1848289168,flat,express,1516566217,12
2066697036,medium,two-day,876732505,14
1855463784,flat,express,342473489,3
319671803,small,relaxed,980844633,1
406579217,medium,relaxed,486232040,7
514477368,medium,express,365415671,11
1905988321,small,relaxed,979494949,2
2030052900,medium,express,997157986,5
1795441545,medium,two-day,1038262761,8
1176515179,medium,relaxed,483087229,5
520234463,large,two-day,1341112268,16
1350337056,small,relaxed,1188400534,3
1328403919,small,relaxed,1234291234,5
415253619,flat,express,847265816,19
159640985,medium,express,816387531,5
2104182622,large,relaxed,364258764,13
261352380,large,snail mail,1171785347,16
92024086,large,express,1420540260,10
551166460,small,express,1281719393,15
950836631,flat,relaxed,1053880343,19
261553691,flat,snail mail,1552457411,15
190266207,small,snail mail,1500447569,3
79757551,flat,snail mail,1409436297,8
1024336875,large,two-day,1830740860,10
812132796,flat,relaxed,2111813164,1
1962979145,small,snail mail,988302883,20
844906928,large,two-day,2024704972,10
675847578,medium,two-day,899493565,11
229824167,large,relaxed,130428927,15
392091143,small,snail mail,1275736979,15
1628740701,large,two-day,1567609792,19
887713883,large,two-day,55762772,14
1954832494,flat,relaxed,458174597,4
1526948078,large,express,36873235,6
451872655,flat,relaxed,2053541665,16
1177513564,large,express,205309307,3
1279046044,medium,relaxed,816342195,11
1063125248,small,two-day,1335109167,7
537849377,flat,express,350751881,12
228591063,medium,two-day,800212840,16
231728201,medium,relaxed,1809767033,4
982053142,flat,express,630221327,20
1067892494,flat,express,1483609807,13
722571342,large,snail mail,806286743,19
13638095,flat,relaxed,1559024551,10
1113307305,flat,snail mail,30495513,12
1311660408,small,express,1178573562,7
884546403,medium,express,286773823,4
1085791127,medium,two-day,1747033468,20
1034621245,medium,two-day,224246195,4
795670213,flat,relaxed,1915974625,16
957719894,flat,two-day,936402406,18
1927313164,small,two-day,1874532045,5
1944156266,medium,express,1547257638,8
987518180,medium,two-day,1772492128,5
1173907227,flat,relaxed,509778704,2
328525490,medium,express,622407375,15
1409980552,medium,relaxed,1383263646,6
608502446,flat,snail mail,407662904,3
1175021079,flat,express,1082022675,8
99154511,flat,two-day,971916929,17
1805930998,medium,two-day,1190895181,9
491769959,large,two-day,1754926980,2
1788946295,large,express,2101822982,10
528846919,medium,relaxed,483655352,13
1537920775,flat,relaxed,492240816,15
1296467555,small,relaxed,949351636,15
641990445,flat,snail mail,1219375064,5
848679430,medium,relaxed,1197120712,2
1275178122,small,express,257033706,13
2055087045,medium,two-day,1071222760,12
1511593096,flat,two-day,369716348,15
562988438,small,snail mail,1990315980,5
959635701,medium,two-day,327642956,1
788989795,small,two-day,1101957387,3
1711199855,small,relaxed,705230146,3
164079184,large,express,1835810963,7
924625966,flat,relaxed,716719862,3
476284102,flat,express,1785982217,8
1090533691,large,relaxed,769544513,2
334599855,small,snail mail,470545959,15
120748533,small,express,486453143,1
105613133,small,two-day,658558414,11
311015470,medium,two-day,901599985,11
2003983680,small,relaxed,1847343355,18
1460224240,small,express,1791187023,4
1259079024,flat,two-day,29495964,6
24294547,small,two-day,1759108309,19
1154252469,flat,relaxed,6176432,9
2057734228,medium,express,138550710,7
1526408738,flat,relaxed,1244844520,3
1549757554,large,express,1641545557,7
1517823769,medium,relaxed,81299588,10
504487470,medium,two-day,594573558,11
1004935760,flat,express,1370107602,14
13198064,small,relaxed,1869013417,20
271610911,medium,snail mail,221085272,20
1167796300,medium,relaxed,861962003,14
1466682503,medium,snail mail,1970230336,3
381662273,medium,two-day,1653868530,13
700568211,small,snail mail,1771860060,5
415553994,large,snail mail,1206211147,5
1409788082,large,relaxed,1211352982,7
214855500,medium,relaxed,309045347,16
419660017,small,two-day,652790105,17
526890812,medium,snail mail,1684670361,5
37871104,small,express,563997971,6
689155802,medium,two-day,2077483420,18
1173711124,flat,express,1091951514,17
1410757493,small,relaxed,666509907,5
1714330852,small,snail mail,588330955,12
1274727545,large,relaxed,744211479,1
354198279,small,two-day,824332920,10
748818162,small,relaxed,1678436339,18
658240310,large,relaxed,1203707708,4
1778493171,small,express,1276395707,15
1112281848,small,express,257225345,1
1988396006,medium,two-day,1090973170,9
90572919,medium,snail mail,224629904,15
703698534,flat,snail mail,613953166,17
2116793419,medium,relaxed,1658647108,12
1199958243,flat,two-day,957440976,5
224631858,small,two-day,876695919,5
330647552,large,snail mail,1263122824,7
1579697098,large,snail mail,354604476,6
1003017250,small,snail mail,160217905,14
1498990717,large,snail mail,60684925,20
1125014361,medium,two-day,1704897666,12
975051513,medium,express,399201879,4
606955887,large,two-day,331903009,10
255601311,small,two-day,163819383,14
209795949,small,snail mail,893003853,3
472723079,large,two-day,113017249,12
122100916,flat,express,594793336,3
427471819,small,express,1259160293,4
2004569396,small,two-day,1168734687,4
315703777,large,relaxed,470669458,20
2056770335,flat,two-day,204462425,10
1135117323,flat,express,1952183165,13
513748448,small,snail mail,402842025,8
1522041313,small,express,1162795376,12
973319411,large,express,674762196,10
1884377400,large,two-day,371794196,3
132405939,large,snail mail,1417690628,8
503568549,flat,relaxed,882638434,4
1125868009,medium,relaxed,1312485803,18
610335781,flat,snail mail,1943279425,19
1836268666,large,snail mail,1151118025,4
213871738,large,express,858839699,5
1703918144,medium,two-day,243015986,17
138745308,large,two-day,242460560,8
1803301033,large,relaxed,945506303,17
60218358,small,express,1596366847,7
679431784,flat,relaxed,727631696,20
15873792,flat,express,485813600,2
2119682580,flat,express,1749973423,5
825223460,medium,snail mail,1568208861,2
1442338631,small,two-day,765263522,13
1736715090,flat,express,1884042586,14
1890067272,small,express,1054479060,7
1632593370,large,relaxed,1893709737,1
496695589,flat,two-day,1222173374,19
324932431,small,express,1066574478,1
110541956,flat,relaxed,589299055,16
1779913511,small,express,204119245,15
1097143099,large,relaxed,66990996,2
144686581,small,two-day,750439212,15
793247575,flat,relaxed,103682487,7
1617577449,flat,two-day,1546967275,20
49757651,large,relaxed,1178045681,6
899128486,small,snail mail,11544283,1
1607803351,large,relaxed,8187500,19
468664955,flat,snail mail,1423497418,8
884162843,medium,two-day,724063261,13
1236063014,large,relaxed,551078073,18
1563345787,medium,express,632996940,6
1785880971,small,express,2049527770,9
2072964748,small,express,1070374309,9
87229887,medium,snail mail,766410480,15
131480982,flat,relaxed,1280976543,14
1217507337,large,snail mail,171651685,16
284878578,large,two-day,1324510515,9
1540466564,flat,snail mail,1646006769,14
855720305,flat,relaxed,76288749,17
1206574139,medium,relaxed,1016916053,7
1986754327,small,two-day,2094256537,18
885172914,large,snail mail,1461517648,6
1746599427,small,relaxed,1481474512,9
1752523245,large,two-day,1439802012,20
512382224,flat,relaxed,185564908,14
1363711281,flat,relaxed,1651088444,6
1095739215,medium,snail mail,388231908,7
1417545670,small,express,728522051,16
226142243,medium,two-day,1765124301,9
1618615098,medium,relaxed,526345113,7
1300420954,medium,relaxed,1630111194,15
1475583926,flat,two-day,1867823123,18
1585800531,flat,relaxed,1148780227,12
1073840660,small,express,1182032828,20
1532948680,small,snail mail,222319276,10
1501699212,flat,express,2130210778,16
681224842,small,relaxed,787467460,13
1976577271,large,two-day,452914114,17
2008224531,flat,relaxed,1724764907,16
91762340,flat,two-day,1078911578,1
1559585379,flat,two-day,1783587283,19
724227601,medium,relaxed,881707149,20
381108326,small,two-day,190467636,5
147110334,small,relaxed,255895252,14
1450777233,medium,two-day,1531707074,15
469308838,medium,express,639318365,17
2074700060,large,snail mail,1828543425,8
1755092457,medium,relaxed,1356588332,20
1370920687,small,two-day,65646361,20
101382482,small,snail mail,564941831,15
1277960400,small,relaxed,1656728347,2
2125344157,medium,snail mail,660518329,10
58870564,large,snail mail,2016316943,5
221351274,large,two-day,739259092,16
1551837472,flat,snail mail,1160472045,10
1766828777,medium,relaxed,489386923,17
1599112434,flat,two-day,267196853,11
649288321,large,two-day,906880504,15
145993219,medium,express,1447533812,13
602768833,flat,relaxed,433032217,4
566079772,medium,two-day,1642419762,9
1995700486,large,express,201704108,5
956411332,medium,relaxed,777015827,5
1095394681,flat,express,1778643879,17
862307570,large,express,2053481257,3
1731591435,small,express,1249528299,19
1912710811,small,express,1489228163,7
1006528335,large,express,848760016,1
1930720890,large,relaxed,1711293751,9
1095801888,medium,two-day,113148102,2
1013269478,medium,relaxed,1224158248,6
154336290,large,snail mail,1495427286,7
889752893,large,express,1442366872,5
2527070,large,express,986395749,17
1283155209,flat,express,1433322750,12
1727639361,small,snail mail,1491823939,7
2048865707,medium,two-day,1608280553,9
197251968,small,snail mail,2006598555,20
603420639,small,two-day,315950002,7
233785439,flat,relaxed,1559529498,2
1239474475,flat,two-day,241903112,20
1464863019,small,express,1509861412,17
230277339,large,relaxed,2042125901,20
1514265250,small,two-day,1521826975,15
473423043,large,snail mail,329943575,8
1073043278,flat,relaxed,73505150,9
592825024,large,two-day,1448807435,12
969372378,large,two-day,1036645056,4
196175969,flat,two-day,2027048608,9
296210852,large,relaxed,934855521,5
946722809,small,snail mail,586273610,5
347879119,medium,snail mail,2026967839,14
976009412,small,relaxed,2027569362,5
1361282390,large,relaxed,1829710299,15
1011732374,small,snail mail,936674462,6
1343874995,large,relaxed,691640765,7
208137738,large,snail mail,2011918570,3
799501758,large,snail mail,515503372,4
605929443,flat,express,24761601,7
1483200950,flat,express,1537206596,9
1938925782,flat,snail mail,2029167789,20
414036807,large,relaxed,913047164,4
1059827879,small,relaxed,1254189352,6
1904317112,flat,snail mail,1058556145,6
2139523101,flat,express,1630547985,4
1465235056,small,two-day,1064213012,1
1288576758,large,two-day,908723185,18
1011048986,flat,snail mail,471013148,3
1800173966,flat,two-day,1610708476,18
1054640367,flat,express,267629760,17
467410099,flat,express,1597958647,10
1500472237,small,relaxed,1040013925,2
1280468636,flat,snail mail,1768059684,3
795383538,flat,two-day,1499267742,11
1414376870,medium,express,635874376,4
915570636,small,snail mail,100727677,4
983132201,medium,relaxed,1474942229,20
1085760128,small,relaxed,253073123,17
1944493110,small,snail mail,7253038,8
89660038,medium,two-day,1408405902,7
752175824,flat,snail mail,493371217,16
1393054462,medium,relaxed,1775689547,16
7839683,medium,two-day,2052180522,11
280249331,medium,snail mail,623856456,17
1248120271,small,two-day,1207664785,16
1779284686,medium,express,663199034,1
2028293794,large,two-day,1777193471,5
2025282472,flat,express,780934793,14
308192912,medium,express,1316002346,18
1843221778,medium,snail mail,1844647540,8
929166774,small,snail mail,1170363882,11
1255881029,flat,snail mail,253757608,12
158790354,large,snail mail,1448844171,9
82550158,medium,relaxed,704665462,19
314511271,flat,two-day,193776367,3
407440427,small,relaxed,809879903,2
282157944,flat,express,1585083363,15
2083620012,small,relaxed,561316207,20
1141683650,flat,two-day,62969934,5
253248587,flat,snail mail,810426962,10
1754204654,flat,express,283638751,10
231874969,medium,relaxed,139247070,20
210306157,small,relaxed,127462421,2
570029594,small,snail mail,799163712,8
246108724,medium,relaxed,74881425,6
2064524428,medium,express,1407586761,1
197594437,flat,express,912934607,4
1883851680,small,express,740735685,1
740971401,large,two-day,1868431468,8
1848437542,flat,express,660007575,11
513052886,large,two-day,1898500186,6
372290736,flat,relaxed,1462348745,1
1750286772,medium,snail mail,1834856300,19
140458228,small,express,1892081291,20
